"","dat"
"1","PENDLETON"
"2","WALNUT HILLS"
"3","NORTHSIDE"
"4","EAST PRICE HILL"
"5","COLLEGE HILL"
"6","OVER-THE-RHINE"
"7","WESTWOOD"
"8","WEST END"
"9","MT. AIRY"
"10","CUF"
"11","SPRING GROVE VILLAGE"
"12","CARTHAGE"
"13","VILLAGES AT ROLL HILL"
"14","NORTH AVONDALE - PADDOCK HILLS"
"15","ROSELAWN"
"16","MT. WASHINGTON"
"17","WINTON HILLS"
"18","KENNEDY HEIGHTS"
"19","CORRYVILLE"
"20","SEDAMSVILLE"
"21","CLIFTON"
"22","AVONDALE"
"23","MILLVALE"
"24","EAST WALNUT HILLS"
"25","PLEASANT RIDGE"
"26","EVANSTON"
"27","BOND HILL"
"28","SOUTH CUMMINSVILLE"
"29","HYDE PARK"
"30","WEST PRICE HILL"
"31","RIVERSIDE"
"32","OAKLEY"
"33","NORTH FAIRMOUNT"
"34","EAST END"
"35","LOWER PRICE HILL"
"36","SOUTH FAIRMOUNT"
"37","CAMP WASHINGTON"
"38","DOWNTOWN"
"39","MADISONVILLE"
"40","LINWOOD"
"41","MT. AUBURN"
"42","EAST WESTWOOD"
"43","MT. ADAMS"
"44","QUEENSGATE"
"45","HARTWELL"
"46","MT. LOOKOUT"
"47","SAYLER PARK"
"48","COLUMBIA TUSCULUM"
"49","CALIFORNIA"
"50","ENGLISH WOODS"
